2026-08-14 18:40:57,726 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\EOG_stock.csv
2026-08-14 18:40:57,774 | INFO | __main__ | Processing OXY...
2026-08-14 18:40:57,774 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for OXY...
2026-08-14 18:40:58,691 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\OXY_stock.csv
2026-08-14 18:40:58,742 | INFO | __main__ | Processing MPC...
2026-08-14 18:40:58,743 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for MPC...
2026-08-14 18:40:59,921 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\MPC_stock.csv
2026-08-14 18:40:59,978 | INFO | __main__ | Processing PSX...
2026-08-14 18:40:59,979 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for PSX...
2026-08-14 18:41:00,970 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\PSX_stock.csv
2026-08-14 18:41:01,021 | INFO | __main__ | Processing HAL...
2026-08-14 18:41:01,022 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for HAL...
2026-08-14 18:41:01,963 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\HAL_stock.csv
2026-08-14 18:41:02,009 | INFO | __main__ | Processing CAT...
2026-08-14 18:41:02,010 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for CAT...
2026-08-14 18:41:03,091 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\CAT_stock.csv
2026-08-14 18:41:03,136 | INFO | __main__ | Processing DE...
2026-08-14 18:41:03,136 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for DE...
2026-08-14 18:41:04,181 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\DE_stock.csv
2026-08-14 18:41:04,231 | INFO | __main__ | Processing GE...
2026-08-14 18:41:04,231 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for GE...
2026-08-14 18:41:05,357 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\GE_stock.csv
2026-08-14 18:41:05,423 | INFO | __main__ | Processing HON...
2026-08-14 18:41:05,423 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for HON...
